"species","lon","lat"
"piaya_therma","-80.53500006","8.527689204"
"piaya_therma","-88.74333385","13.69435616"
"piaya_therma","-96.36833428","19.23602314"
"piaya_therma","-80.78500007","7.361022472"
"piaya_therma","-87.91000047","14.86102289"
"piaya_therma","-95.6600009","18.69435644"
"piaya_therma","-93.99333414","16.56935632"
"piaya_therma","-97.410001","20.73602322"
"piaya_therma","-79.78500002","9.11102257"
"piaya_therma","-89.11833387","14.06935618"
"piaya_therma","-89.36833389","15.31935625"
"piaya_therma","-84.7850003","10.23602263"
"piaya_therma","-80.11833337","8.652689211"
"piaya_therma","-80.57666673","8.111022514"
"piaya_therma","-94.03500081","16.40268965"
"piaya_therma","-95.07666754","18.44435643"
"piaya_therma","-86.74333374","15.73602294"
"piaya_therma","-83.57666689","9.361022584"
"piaya_therma","-88.57666717","16.61102299"
"piaya_therma","-87.07666709","13.65268949"
"piaya_therma","-84.36833361","10.11102263"
"piaya_therma","-77.70166657","8.069355845"
"piaya_therma","-90.66000062","15.94435629"
"piaya_therma","-88.99333386","13.48602282"
"piaya_therma","-95.78500091","18.15268974"
"piaya_therma","-84.07666692","10.06935596"
"piaya_therma","-96.86833431","19.36102314"
"piaya_therma","-90.24333393","18.6110231"
"piaya_therma","-95.20166755","17.81935639"
"piaya_therma","-92.16000071","14.9860229"
"piaya_therma","-88.03500048","14.94435623"
